protein_id,class_id
8f8s_1:C:C_model1,90
8iah_5:N:D_model1,61
4u6f_64:ME:n8_model1,74
7xvl_3:G:M_model1,14
6n1z_2:B:B_model1,40
7qj8_3:D:e_model1,61
2q1n_1:A:A_model1,90
8t9h_3:G:G_model1,40
3lp1_1:A:A_model1,32
3j3y_1:WC:gS_model1,8
3j3y_1:UE:f5_model1,8
5i4l_4:D:S2_model1,87
7w3k_13:M:o_model1,71
3j3q_1:GR:6Y_model1,8
8hag_4:H:H_model1,56
7v9c_6:R:R_model1,56
8quj_1:A:A_model1,25
6tu3_9:I:I_model1,3
3j3q_1:BG:21_model1,8
7nvn_1:A:A_model1,7
6e04_1:A:A_model1,39
4v88_23:XC:CV_model1,83
5dat_61:KE:n5_model1,62
3j3y_1:XT:hh_model1,8
8vfy_4:H:H_model1,56
7nrc_6:F:SR_model1,87
8b0a_5:I:H_model1,80
8hki_2:D:b_model1,13
3j8i_1:B:E_model1,90
3j3q_1:BXA:2a_model1,8
5ay8_3:C:C_model1,86
8jgb_3:C:A_model1,21
6qb8_2:B:B_model1,13
6yy0_3:G:G_model1,38
3azk_3:C:C_model1,86
1o1g_4:FA:6_model1,90
3j3q_1:TA:gK_model1,8
3j3q_1:YIA:kj_model1,8
3j3y_1:QOA:cZ_model1,8
4a0w_1:N:N_model1,66
3j3q_1:MX:bH_model1,8
3j3y_1:MMA:E_model1,8
1xgi_1:A:A_model1,54
7aid_1:C:C_model1,47
7ash_1:D:D_model1,8
3j3q_1:CEA:2p_model1,8
3j3q_1:QL:eC_model1,8
3j3q_1:KB:9L_model1,8
8a3y_27:BA:d_model1,56
6wz5_4:H:H_model1,70
8bo1_1:C:C_model1,90
5mva_1:N:N_model1,90
1tkz_1:A:A_model1,22
4r3o_14:BA:2_model1,33
8cbj_20:T:J_model1,16
3j3y_1:GAA:5O_model1,8
7xfl_4:D:D_model1,93
7ply_2:B:C_model1,90
7lya_6:I:C_model1,14
3j3q_1:YSA:l2_model1,8
8azk_13:N:M_model1,92
7ewk_3:C:C_model1,43
3j3q_1:BCA:1v_model1,8
8jho_4:X:h_model1,70
3j78_1:A:L1_model1,55
3x1u_5:F:D_model1,56
8v6v_4:D:D_model1,70
6avo_11:S:S_model1,92
6skn_1:C:C_model1,8
5yu8_1:B:B_model1,90
7pfu_4:M:N_model1,79
8rgt_40:OA:l_model1,18
6muo_4:D:D_model1,56
7nap_11:FA:K_model1,60
5mva_1:C:C_model1,90
3j3y_1:UQ:fT_model1,8
3j3q_1:QY:ec_model1,8
7x3j_3:J:d_model1,52
3j3y_1:KF:8O_model1,8
8guk_3:C:C_model1,14
3j3y_1:DGA:3O_model1,8
8ccs_12:L:B_model1,37
4u50_19:S:C7_model1,0
7w37_15:MA:O_model1,71
8kb5_4:D:D_model1,56
8sfe_2:C:A_model1,7
7pf0_4:H:H_model1,79
8fiu_1:A:A_model1,25
3j3q_1:PV:dh_model1,8
3j3q_1:VHA:iD_model1,8
4v4b_33:GA:BN_model1,37
7uv9_4:H:H_model1,34
9b3d_1:D:D_model1,90
1p34_4:E:C_model1,49
7wtn_8:H:SJ_model1,16
3tam_1:A:A_model1,32
3j3y_1:HQ:6b_model1,8
6bnp_2:H:B_model1,90
7u53_3:C:C_model1,14
6y9x_1:J:d_model1,8
3j3q_1:W:in_model1,8
6kvd_4:E:C_model1,14
4qlc_5:E:C_model1,14
5t62_9:I:H_model1,5
6zkp_40:OA:v_model1,81
6yn1_1:A:A_model1,14
3ztj_2:B:B_model1,53
4u4u_24:YC:d2_model1,17
4uo5_2:B:B_model1,51
7oh3_9:I:E_model1,5
8wm6_3:C:C_model1,43
6zp5_1:A:A_model1,72
2w6e_3:G:G_model1,38
7lyc_3:F:H_model1,56
3j3q_1:XK:jx_model1,8
3j3y_1:BF:1t_model1,8
3j3y_1:QS:cg_model1,8
3azm_4:D:D_model1,56
3j3y_1:KI:8U_model1,8
7qxw_32:FA:T_model1,33
1ga9_1:B:B_model1,54
7v5m_13:M:a_model1,92
3utb_4:H:H_model1,70
7otz_1:C:C_model1,47
7w3h_19:QA:S_model1,92
6kwy_11:K:K_model1,60
7nao_10:J:J_model1,69
3j3q_1:DWA:4E_model1,8
3j3y_1:WJA:gh_model1,8
6i7o_8:QD:YM_model1,5
6jr1_3:C:C_model1,14
9fgq_4:I:G_model1,14
3j3y_1:BR:2G_model1,8
3c9k_2:F:F_model1,56
3j3q_1:MTA:bA_model1,8
7zqd_3:C:C_model1,43
1myg_1:B:B_model1,88
4a0v_1:J:J_model1,66
6m8h_1:A:A_model1,94
4v88_19:S:AR_model1,0
7u4d_3:C:C_model1,31
3j3q_1:IZ:8S_model1,8
7nad_8:H:P_model1,37
3j3q_1:BL:2B_model1,8
6upw_2:D:B_model1,90
3j3q_1:AT:1b_model1,8
6gsn_39:MA:V_model1,23
6n8n_32:FA:k_model1,62
9c84_1:A:A_model1,54
7nkx_13:M:c_model1,40
3j3q_1:HWA:7Y_model1,8
6k1j_4:H:H_model1,56
7pfa_4:D:D_model1,79
3j6x_56:DB:S9_model1,16
3j3q_1:QI:e6_model1,8
8vfx_4:D:D_model1,56
3j3q_1:ZAA:lI_model1,8
3j3y_1:FEA:4n_model1,8
3j3q_1:LJA:a1_model1,8
7x0v_6:O:M_model1,52
6nra_8:P:P_model1,35
6uzv_3:N:C_model1,41
3j34_1:IA:O_model1,8
5tsx_1:A:A_model1,25
5lf1_10:J:J_model1,69
6y5g_2:E:D_model1,53
6tnu_13:M:W_model1,16
3azg_4:D:D_model1,56
8r8h_1:A:A_model1,15
6uc4_1:E:E_model1,90
3j3y_1:YW:iS_model1,8
8smx_4:D:D_model1,56
4j8v_3:G:G_model1,14
7qxp_27:AA:O_model1,71
3j82_2:B:B_model1,61
2g11_1:A:A_model2,88
3j3q_1:EH:4a_model1,8
6upl_4:D:D_model1,34
4u4o_53:CE:m7_model1,37
3j3y_1:HLA:6S_model1,8
2v4z_1:A:A_model1,94
3lel_3:C:C_model1,14
6snt_12:L:J_model1,16
7und_29:GA:h_model1,80
3j3y_1:VAA:fh_model1,8
7utl_1:P:P_model1,90
5vtu_2:D:D_model1,59
5dat_64:LB:N8_model1,74
5onv_1:B:B_model1,90
3j3y_1:NB:a_model1,8
6x59_4:D:D_model1,56
7bt6_22:V:X_model1,62
1p3p_4:I:G_model1,49
8ceh_64:LB:f_model1,87
8evh_4:H:H_model1,56
6m4g_5:E:D_model1,56
7xct_3:I:G_model1,14
9b0k_1:C:C_model1,90
3j3y_1:QEA:cF_model1,8
6hhq_50:ZD:s2_model1,87
3j3y_1:UB:f_model1,8
3j3y_1:MH:9t_model1,8
7w0r_26:AA:c_model1,18
8w9d_8:J:d_model1,79
7ahq_1:A:A_model1,90
2a5x_1:A:A_model1,90
3j3y_1:ZJA:is_model1,8
3j3y_1:AT:1b_model1,8
3v4i_1:C:C_model1,47
1bgy_8:S:T_model1,46
8dxg_1:A:A_model1,9
3j3q_1:DN:3w_model1,8
6vz4_4:H:H_model2,56
3j3q_1:GH:6E_model1,8
7lpx_1:A:A_model1,9
7ad9_2:H:H_model1,90
8hah_4:D:D_model1,56
5dat_19:S:C7_model1,0
6le9_3:C:C_model1,14
7xcf_1:A:A_model1,88
3azk_4:D:D_model1,56
3j3q_1:DXA:4G_model1,8
6pwe_3:C:C_model1,14
7nvn_3:L:d_model1,52
5nbl_2:C:C_model1,61
4u53_15:PC:c3_model1,91
3j3q_1:MG:ak_model1,8
5h4p_25:Y:X_model1,62
3j3q_1:FH:5P_model1,8
3c1b_4:H:H_model1,56
3j3q_1:QWA:eZ_model1,8
8euj_3:J:G_model1,40
7udt_2:D:C_model1,90
3hbt_1:A:A_model1,90
3j3y_1:RX:dT_model1,8
7zi4_10:R:P_model1,56
6e0c_3:C:C_model1,14
4v6i_9:I:AH_model1,17
7o3e_7:N:S_model1,96
8hag_4:D:D_model1,56
8rty_1:B:B_model1,61
8cdl_81:CC:x_model1,83
7scy_6:J:H_model1,56
6vz4_3:C:C_model4,40
3j3q_1:NK:bh_model1,8
5ndg_19:TC:c7_model1,0
8hak_4:D:D_model1,56
6tcl_3:MA:C2_model1,41
6qtz_22:V:W_model1,62
6tem_4:H:H_model1,93
6zvi_26:Z:E_model1,17
6fyy_25:Y:V_model1,23
3j3y_1:AKA:1K_model1,8
3j3q_1:VTA:ib_model1,8
3j6y_4:D:L1_model1,55
3j3y_1:EBA:3y_model1,8
3j81_19:S:R_model1,12
1k0t_1:A:A_model22,41
7dgj_1:B:B_model1,88
4kza_1:A:A_model1,54
3j3q_1:TZ:h7_model1,8
7xvl_3:AA:C_model1,14
6uz7_28:BA:AZ_model1,58
6k61_4:P:c_model1,41
6v92_25:HA:g_model1,14
7sls_1:A:A_model1,22
8siy_4:D:E_model1,49
6kwy_13:M:a_model1,33
3j3y_1:GG:5Z_model1,8
3j3y_1:CFA:2d_model1,8
4kg2_1:B:B_model1,54
4rtu_1:A:A_model1,48
3j3q_1:A:0_model1,8
8yti_4:H:H_model1,56
5tbw_26:SB:8_model1,62
7w3h_20:T:t_model1,33
6lab_3:C:C_model1,14
4uo7_2:B:B_model1,51
1e79_3:G:G_model1,38
3j3y_1:KAA:8F_model1,8
4e3o_1:B:B_model1,54
6bkm_2:F:F_model1,59
4a0o_1:H:H_model1,66
6nrb_6:F:F_model1,75
1p3l_4:I:G_model1,49
3j3y_1:XR:he_model1,8
9b03_1:F:F_model1,90
8euj_4:D:D_model1,80
8wmj_3:C:C_model1,43
8sff_8:H:Z_model1,75
5t0c_31:KB:BS_model1,92
1k0t_1:A:A_model28,41
6m44_3:Q:Q_model1,14
6n1z_2:E:E_model1,40
8yjf_5:G:G_model1,56
3j3q_1:QAA:ds_model1,8
3j3q_1:XUA:kH_model1,8
6la2_3:C:G_model1,14
3j3y_1:VQ:gB_model1,8
5it9_23:W:W_model1,4
4u4y_53:CE:m7_model1,37
5mei_29:CA:AA_model1,45
8evp_42:PA:AE_model1,5
7otq_5:I:H_model1,80
4wyb_1:K:K_model1,90
4dc7_1:A:A_model1,15
7bti_1:E:E_model1,90
6sv4_41:ZC:bc_model1,17
7p1g_2:K:D_model1,90
4wym_1:A:A_model1,25
8f8q_1:E:E_model1,90
7lqu_1:A:A_model1,9
7utl_1:Q:Q_model1,90
9b0k_1:D:D_model1,90
3j3q_1:SU:g8_model1,8
4u3m_63:KB:N7_model1,45
7b7d_43:QA:LH_model1,2
7ash_1:O:O_model1,8
7kc1_2:B:B_model1,51
7x0a_8:P:z_model1,75
7ea8_5:I:H_model1,56
3j3y_1:VG:fs_model1,8
5dc3_15:O:C3_model1,91
3j3q_1:CQ:3B_model1,8
8sgc_2:B:A_model1,7
3unh_12:L:L_model1,28
8i9u_2:J:J_model1,13
3j3q_1:RI:ew_model1,8
1ke3_1:B:B_model1,54
7qyb_30:RA:r_model1,60
3j3y_1:PBA:bR_model1,8
8jnd_3:C:C_model1,86
7kch_1:A:B_model1,90
4v5f_37:VC:DC_model1,11
3j3y_1:VHA:fv_model1,8
5hgl_1:E:E_model1,25
8sfe_1:B:z_model1,75
8bqx_19:S:R_model1,87
7qxw_29:QA:q_model1,69
3j3y_1:DPA:3g_model1,8
7o01_3:C:C_model1,43
6rbd_15:O:W_model1,17
7udu_1:C:C_model1,90
4u0d_1:L:L_model1,25
6snt_5:E:C_model1,87
3o87_1:A:A_model1,54
3j3q_1:NQ:bt_model1,8
5jup_5:E:E_model1,55
2hf3_1:A:A_model1,61
7xvl_4:X:l_model1,56
3j3y_1:QC:cA_model1,8
3j3y_1:UZ:fe_model1,8
7nik_3:C:C_model1,84
7vfx_2:B:A_model1,21
1o1f_4:W:W_model1,90
7xyg_1:B:G_model1,14
3j3q_1:OY:cy_model1,8
3j3q_1:UHA:hO_model1,8
6vkv_1:A:A_model1,25
3j3y_1:AP:1T_model1,8
4u4y_64:LB:N8_model1,74
8u5h_7:H:K_model1,14
3j3y_1:QE:cE_model1,8
7ohq_10:J:E_model1,5
8eue_4:D:D_model1,80
8v2o_1:B:B_model1,61
4u3u_11:LC:s9_model1,16
2rvq_2:B:D_model1,56
3j3q_1:JXA:9E_model1,8
8j7a_7:G:C_model1,43
5dgf_15:O:C3_model1,91
7x3u_3:E:D_model1,52
3j3y_1:ID:6u_model1,8
4u4r_24:YC:d2_model1,17
6z97_1:B:B_model1,89
3j3y_1:BJ:20_model1,8
7yu8_2:B:A_model1,21
6wz9_4:H:H_model1,70
7qxx_27:OA:o_model1,71
5fci_64:LB:N8_model1,74
8glv_86:SHA:Mc_model1,61
6uz7_50:XA:C_model1,65
7u47_4:H:H_model1,34
2y83_1:E:S_model1,90
5ob2_1:A:A_model1,48
3j3q_1:XO:k4_model1,8
5mlu_4:D:D_model1,56
5fcj_61:KE:n5_model1,62
5it7_65:MB:R_model1,12
3unf_12:L:L_model1,28
3j3q_1:RG:es_model1,8
6xiq_5:E:E_model1,5
6zkj_40:OA:v_model1,81
1p34_5:F:D_model1,93
7ohv_28:BA:a_model1,74
8t3w_4:D:D_model1,70
5vtz_2:D:D_model1,59
6ls8_1:F:K_model1,88
8ra4_1:A:A_model1,15
7u53_3:G:G_model1,14
8cgn_68:QB:m_model1,16
4kz5_1:B:B_model1,54
7zqd_3:W:C2_model1,43
5ndg_4:EC:s2_model1,87
7xzz_4:H:H_model1,56
3j3q_1:MB:aa_model1,8
6zpo_4:H:G_model1,38
5b33_4:D:D_model1,56
8cvt_19:SA:s_model1,92
7ohv_8:H:E_model1,5
2pbd_1:A:A_model1,90
8q47_37:LA:l_model1,81
3j3q_1:FFA:5M_model1,8
3j34_1:V:i_model1,8
8i9q_1:A:D_model1,52
3uta_4:D:D_model1,70
3h4e_1:G:G_model1,25
2jj2_3:G:G_model1,38
6m44_4:H:H_model1,56
3jam_19:S:R_model1,12
3j3q_1:XC:jh_model1,8
7v9s_4:T:V_model1,56
4rku_3:C:C_model1,43
1qz5_1:A:A_model1,90
5vfr_24:X:s_model1,92
6vau_1:D:D_model1,90
3j3y_1:Y:ho_model1,8
7xsz_29:CA:d_model1,56
3j3q_1:SJA:fo_model1,8
8cg8_33:GA:J_model1,62
8qv4_1:A:A_model1,25
3b5u_1:M:M_model1,90
7k61_4:H:H_model1,56
7wtp_8:H:SJ_model1,16
5ors_1:A:A_model1,67
1klv_1:A:A_model17,85
6uz7_29:CA:Ba_model1,50
3j3q_1:BVA:2W_model1,8
5z3g_20:T:T_model1,37
8sha_2:B:A_model1,7
3j3y_1:OKA:b0_model1,8
8ihl_3:S:S_model1,86
7w3m_17:Q:q_model1,69
4v5l_38:MA:BC_model1,11
3j3y_1:JE:7e_model1,8
3j3q_1:MN:ay_model1,8
3j3q_1:SLA:fs_model1,8
3j3q_1:CT:3H_model1,8
2mgm_1:A:A_model1,39
7wic_3:C:A_model1,64
7e8d_4:D:D_model1,56
8bzl_13:N:a_model1,33
6xir_23:W:X_model1,62
6y9w_1:F:H_model1,8
7r5r_4:D:D_model1,34
3j3q_1:JA:8U_model1,8
7a30_1:A:A_model1,48
7x0a_5:J:g_model1,24
4b3o_1:A:A_model1,32
3j3q_1:RDA:en_model1,8
8q48_37:LA:l_model1,81
7ccc_1:A:A_model1,90
3azj_3:C:C_model1,86
8agx_11:K:K_model1,62
7y66_1:A:A_model1,21
8smz_3:G:G_model1,14
5on6_27:UB:CZ_model1,62
3j3y_1:KA:8E_model1,8
7ash_1:G:G_model1,8
1klm_1:A:A_model1,22
4u4n_24:YC:d2_model1,17
4u50_64:LB:N8_model1,74
7xvm_3:Q:Q_model1,14
5txp_1:E:C_model1,32
6kdm_1:A:A_model1,32
8jh2_24:BA:d_model1,56
3une_8:JA:V_model1,3
7rmj_1:A:A_model1,25
1ke4_1:A:A_model1,54
3j3q_1:KVA:A_model1,8
8uew_37:LA:1l_model1,18
3j3y_1:TAA:eG_model1,8
8hn8_1:A:A_model1,21
7v9c_6:F:D_model1,56
8q3e_5:E:DDD_model1,56
8pkj_3:C:C_model1,14
7v9c_5:I:G_model1,14
8h0w_18:R:c_model1,86
5ndw_70:IE:S2_model1,87
4a0o_1:A:A_model1,66
3j3q_1:OVA:ct_model1,8
4kko_1:A:A_model1,9
7zs5_21:U:BQ_model1,37
8ord_1:C:C_model1,61
8i17_1:C:D_model1,14
2a40_1:A:A_model1,90
3j3y_1:LQ:9S_model1,8
6f1t_2:H:H_model1,61
7vvz_6:J:S_model1,40
8qyo_8:V:V_model1,71
7db6_1:A:A_model1,21
2cv5_4:I:G_model1,14
6t20_1:A:A_model1,90
8g57_5:E:D_model1,56
5vfs_14:MA:T_model1,33
8a5o_3:C:V_model1,61
3j3q_1:RMA:f4_model1,8
6msg_33:UA:s_model1,92
3j3q_1:ACA:14_model1,8
3j3q_1:ET:4y_model1,8
2oan_1:D:D_model1,61
7naq_13:M:a_model1,33
7u0j_4:D:D_model1,56
6usj_5:I:G_model1,86
6c5l_37:LA:BC_model1,11
5ll6_13:M:a_model1,83
6znl_2:H:H_model1,61
1mnj_1:B:B_model1,88
7w3h_15:O:o_model1,71
8d15_1:G:G_model1,90
7zdm_40:OA:v_model1,81
7dz7_3:C:C_model1,43
3j3q_1:NSA:by_model1,8
3j3q_1:UF:hJ_model1,8
8yvp_9:BA:W_model1,29
5onw_5:I:G_model1,14
7scy_6:F:D_model1,56
3j3y_1:DB:3D_model1,8
8agw_52:AB:w_model1,55
3j3y_1:GJA:5g_model1,8
7b12_1:N:M_model1,92
3j3q_1:YHA:kh_model1,8
8cf5_33:GA:J_model1,62
3j3y_1:PDA:bV_model1,8
3j3q_1:NJA:bg_model1,8
3j3q_1:EXA:56_model1,8
8rtt_1:C:C_model1,61
8g6g_4:H:H_model1,56
8bjq_30:DA:La_model1,74
4k42_1:B:B_model1,90
8evp_24:X:BR_model1,0
9b3p_4:D:D_model1,93
7nl0_3:C:C_model1,14
5vfp_14:N:t_model1,33
3wi8_1:A:A_model1,15
5oro_1:A:A_model1,67
7xx5_4:R:R_model1,56
6n8n_12:L:H_model1,5
8oi8_1:B:B_model1,61
2g14_1:A:A_model1,88
3j3q_1:YW:l9_model1,8
9azp_1:F:F_model1,90
5it9_14:N:N_model1,16
6msh_31:EA:R_model1,60
3j3q_1:INA:85_model1,8
8haj_3:G:G_model1,14
7trg_6:F:F_model1,52
3j3y_1:AQ:1V_model1,8
6cxi_1:E:E_model1,61
8xbt_4:H:H_model1,56
7wz3_5:I:G_model1,24
7nvo_4:M:z_model1,75
3j3q_1:YH:kg_model1,8
3j3q_1:GU:6e_model1,8
3c1c_4:D:D_model1,56
6r86_46:TA:I_model1,5
3j3y_1:EQA:4R_model1,8
3j3y_1:CD:2Y_model1,8
4ig0_1:A:A_model1,9
6r1t_4:D:D_model1,56
8shd_2:B:A_model1,7
7qxw_27:AA:O_model1,71
4a0v_1:A:A_model1,66
7v5m_11:Y:Y_model1,69
8jnd_3:G:G_model1,86
3lue_1:J:J_model1,61
8v2o_1:D:D_model1,61
6a5u_18:V:g_model1,86
8pc5_5:E:D_model1,70
7qim_1:B:B_model1,90
7pfw_4:H:h_model1,79
7xcr_4:D:D_model1,56
8she_2:J:a_model1,7
6i7o_21:U:Rb_model1,87
8w9f_8:N:h_model1,79
6osa_3:C:A_model1,21
4i7f_1:A:A_model1,22
3j3y_1:BV:2M_model1,8
7a5f_88:LC:n_model1,6
3nte_1:B:B_model1,8
3j3y_1:CNA:2t_model1,8
3j3q_1:ZQA:lw_model1,8
3unf_13:AA:M_model1,29
8cf5_78:ZB:t_model1,0
8han_4:H:H_model1,56
8rbx_18:R:Q_model1,14
3j3q_1:FE:5J_model1,8
5jup_52:ZA:ZA_model1,87
6z6j_64:LB:La_model1,74
7v9k_4:T:d_model1,56
7udt_2:C:B_model1,90
2cv5_5:F:D_model1,79
6bno_1:F:F_model1,90
7o3h_8:R:S_model1,96
7pfx_4:D:N_model1,79
3j3q_1:NP:br_model1,8
1nmd_1:A:A_model1,61
5dgf_63:ME:n7_model1,45
8e9b_8:M:P_model1,90
3azn_3:C:C_model1,86
6j99_4:H:H_model1,56
3j3q_1:TR:gs_model1,8
7w3c_15:LA:O_model1,71
4u0d_1:I:I_model1,25
3j3y_1:JKA:7r_model1,8
5tga_53:AB:M7_model1,37
6msg_34:HA:T_model1,33
6se6_4:D:D_model1,34
2ypg_2:B:B_model1,53
3j3q_1:ZN:lp_model1,8
6ftx_3:G:G_model1,49
7v5g_2:I:I_model1,71
3j3y_1:WR:gw_model1,8
5i4l_53:CE:m7_model1,37
3j3y_1:ZH:in_model1,8
7wtq_7:G:SJ_model1,16
4wu8_6:J:H_model1,70
8gui_4:D:D_model1,56
6m44_4:N:N_model1,56
8fdj_1:A:A_model1,39
2wss_3:G:G_model1,38
5kuy_2:B:B_model1,59
6djo_1:D:D_model1,90
8d3b_1:E:E_model1,8
3j3q_1:GY:6m_model1,8
3waa_4:H:H_model1,56
4wym_1:J:J_model1,25
8cdl_70:RB:m_model1,16
8hah_4:H:H_model1,56
3j3y_1:QG:cI_model1,8
5it7_50:XA:C_model1,65
7otk_1:A:A_model1,47
3j3y_1:RDA:cw_model1,8
5ndw_49:TC:n5_model1,62
8sht_1:A:A_model1,7
8jh3_19:W:h_model1,56
4ci6_1:A:A_model1,61
7tay_8:H:H_model1,46
1gdd_1:A:A_model1,94
5a0q_9:W:W_model1,71
3lp2_1:A:A_model1,32
7eg6_5:I:H_model1,70
6v2k_3:G:G_model1,86
8r8j_1:A:A_model1,15
5dgf_43:QA:L6_model1,5
8cgn_80:CC:y_model1,17
2fyu_8:H:H_model1,46
5dnn_3:G:G_model1,14
5zji_7:G:C_model1,43
3j3q_1:UC:hD_model1,8
3j3y_1:PY:c3_model1,8
3j3q_1:AQA:1W_model1,8
8jld_4:D:D_model1,56
5t0j_15:O:T_model1,33
5yci_1:B:B_model1,88
3j3y_1:ILA:7A_model1,8
7x3v_4:D:D_model1,93
5wyk_38:OA:SK_model1,16
7utj_1:B:B_model1,90
5l4g_8:H:1_model1,92
7r94_1:B:B_model1,90
4rw9_1:A:A_model1,32
8c01_22:V:b_model1,17
7z7i_1:C:C_model1,90
8pk3_2:H:F_model1,53
7pf5_4:H:h_model1,79
7fic_1:A:A_model1,67
5e5a_4:E:C_model1,40
5ob2_1:C:C_model1,48
8yv8_3:G:G_model1,14
8d14_1:B:B_model1,90
5z3l_4:D:D_model1,70
6slu_1:D:D_model1,8
8evp_12:L:BV_model1,83
4u4n_4:D:S2_model1,87
7w3h_20:RA:T_model1,33
7o3e_7:G:H_model1,96
6nrb_6:N:N_model1,75
7pft_4:H:H_model1,79
3kle_1:C:E_model1,32
4u4y_11:K:S9_model1,16
3j3y_1:EJ:4C_model1,8
6t24_1:B:B_model1,90
7w38_17:OA:R_model1,60
7k20_1:D:D_model1,90
3j3y_1:SKA:ds_model1,8
1vxf_1:A:A_model1,19
5f99_4:H:H_model1,70
6sv4_41:OA:bb_model1,17
8evs_63:KB:Aa_model1,74
6n8j_42:PA:Z_model1,45
7td1_3:C:A_model1,94
6zkc_40:OA:v_model1,81
5dgv_19:TC:c7_model1,0
4j8v_4:H:H_model1,70
5onv_1:E:E_model1,90
6trd_3:C:C_model1,41
5obm_67:SE:d1_model1,83
8ots_4:H:H_model1,56
4a0w_1:I:I_model1,66
5obm_8:H:L6_model1,5
8ugd_8:H:3H_model1,96
8ykx_2:B:A_model1,64
5d5r_1:A:A_model1,15
2w49_5:U:N_model1,90
7nvl_9:I:Z_model1,75
6kmx_3:C:aC_model1,41
6avo_14:AA:W_model1,33
8j22_2:B:B_model1,21
6zdj_1:D:D_model1,8
8hr1_3:C:C_model1,14
5ndg_53:AB:M7_model1,37
5dc3_11:K:S9_model1,16
3j3q_1:YC:kW_model1,8
3j3q_1:AGA:1C_model1,8
7vyg_11:K:c_model1,18
8agu_11:K:K_model1,62
3wkj_3:G:G_model1,86
8vfy_4:D:D_model1,56
3j3q_1:KK:9d_model1,8
3j3q_1:YRA:l0_model1,8
7lyc_8:K:C_model1,14
8evg_3:C:C_model1,14
4u6f_15:PC:c3_model1,91
8q0q_37:LA:l_model1,81
3azh_3:G:G_model1,86
8ugj_52:KB:3U_model1,96
2vly_1:A:A_model1,15
3j3y_1:QBA:c9_model1,8
4a0w_1:G:G_model1,66
3j3q_1:JK:8o_model1,8
107m_1:A:A_model1,88
8ugh_37:LA:1l_model1,18
6c0j_1:A:A_model1,9
2xql_1:I:I_model1,14
8evs_24:X:BR_model1,0
5avb_3:G:G_model1,86
5tgm_24:X:D2_model1,17
5tga_43:QA:L6_model1,5
8f8p_1:B:B_model1,90
5ooe_1:D:D_model1,90
7qxb_3:C:L_model1,14
7crq_4:D:D_model1,70
7u0j_3:G:G_model1,14
6m4h_6:F:D_model1,56
7xt7_29:GA:h_model1,56
3j3q_1:KC:9N_model1,8
5lyb_64:LB:N8_model1,74
3j3q_1:AMA:1O_model1,8
5oav_1:C:C_model1,48
5xth_62:KB:AE_model1,96
1o1f_4:X:X_model1,90
6ryu_3:G:G_model1,40
4b2t_7:G:Q_model1,95
8shp_4:L:d_model1,52
8agt_3:C:C_model1,37
5tgm_11:LC:s9_model1,16
3j3y_1:NBA:a0_model1,8
8cvr_9:I:I_model1,71
8ham_4:H:H_model1,56
8iai_4:S:K_model1,61
3j3q_1:XXA:kN_model1,8
3j3y_1:RV:dR_model1,8
5cne_1:A:A_model1,15
8g57_4:D:C_model1,14
7brt_1:A:A_model1,73
3j34_1:O:Z_model1,8
3j3q_1:OH:cQ_model1,8
5dge_24:YC:d2_model1,17
2jiz_3:N:N_model1,38
5yee_1:A:B_model1,90
3j3q_1:IU:8I_model1,8
4v8y_58:FB:BX_model1,62
8f8t_1:B:B_model1,90
7aii_1:A:A_model1,47
8f22_1:A:A_model1,25
3j3q_1:AA:1_model1,8
3j3y_1:CC:2W_model1,8
8civ_33:GA:J_model1,62
7b7d_6:F:R_model1,87
7of1_7:G:E_model1,5
5tbw_18:R:x_model1,37
3j3q_1:FZ:5z_model1,8
7yyh_3:C:C_model1,31
7utl_1:M:M_model1,90
5mva_1:O:O_model1,90
8a2s_1:A:A_model1,90
8qyn_13:M:M_model1,69
7nan_11:K:K_model1,60
3j3y_1:EOA:4N_model1,8
7qyb_32:FA:T_model1,33
7x3j_2:B:B_model1,13
5b0z_3:C:C_model1,86
4ko0_1:A:A_model1,9
5tsv_1:A:A_model1,25
7w4z_1:A:A_model1,90
8cvr_11:K:K_model1,69
8aaf_49:WA:w_model1,55
3j3y_1:CJA:2l_model1,8
5i4l_61:KE:n5_model1,62
4ym5_3:C:C_model1,86
3j3q_1:LR:aG_model1,8
2rvq_1:A:C_model2,14
1qz6_1:A:A_model1,90
3unb_12:Z:n_model1,28
4v8z_22:V:AN_model1,91
3j3y_1:SGA:dk_model1,8
3hc9_1:A:A_model1,88
8syp_3:C:C_model1,14
7xse_21:Y:g_model1,86
4u50_4:EC:s2_model1,87
3j3y_1:DCA:3G_model1,8
1swm_1:A:A_model1,19
6msd_28:CA:O_model1,71
8sg9_9:Q:z_model1,75
7y8r_4:H:H_model1,34
3j3y_1:VJ:fy_model1,8
8eub_58:FB:AX_model1,62
6snt_16:P:N_model1,91
1m18_5:J:H_model1,70
6ryu_4:D:D_model1,80
4u53_61:KE:n5_model1,62
1gia_1:A:A_model1,94
6t79_4:D:D_model1,79
7a34_1:A:A_model1,48
7k5x_3:C:C_model1,14
4v0u_1:B:B_model1,90
3j3q_1:ZTA:o_model1,8
3j3q_1:RQ:fB_model1,8
5kuy_2:D:D_model1,59
2yni_1:A:A_model1,22
7q08_60:HB:O_model1,16
3j3y_1:GIA:5e_model1,8
7lyc_3:C:D_model1,56
8xbt_4:D:D_model1,56
6hhq_8:H:n_model1,5
7nkr_3:C:C_model1,84
8cdl_82:DC:y_model1,17
